study_id,citation_key,authors,publication_year,title,outlet,method,scope,estimate_type,scenario,discount_rate_pct,pulse_year,dollar_year,original_unit,estimate,interval_low,interval_high,interval_type,source_locator,source_url,preferred,eligible_for_pool,path_group,path_year,path_value,bound_type,exclusion_reason,notes
pindyck2019,pindyck2019,Pindyck,2019,The Social Cost of Carbon Revisited,Journal of Environmental Economics and Management,expert elicitation,global,average SCC,high-confidence 10-90 trim lognormal,,,2017,USD/tCO2,83.6,,,,Table 7,https://doi.org/10.1016/j.jeem.2019.102222,TRUE,TRUE,,,,,Constant over time,Central high-confidence elicitation specification; treated as an undated time-invariant SCC.
pindyck2019,pindyck2019,Pindyck,2019,The Social Cost of Carbon Revisited,Journal of Environmental Economics and Management,expert elicitation,global,average SCC,all respondents 5-95 trim gamma,,,2017,USD/tCO2,208.5,,,,Table 7,https://doi.org/10.1016/j.jeem.2019.102222,FALSE,FALSE,,,,,Alternative specification,
pindyck2019,pindyck2019,Pindyck,2019,The Social Cost of Carbon Revisited,Journal of Environmental Economics and Management,expert elicitation,global,average SCC,all respondents 5-95 trim lognormal,,,2017,USD/tCO2,278.1,,,,Table 7,https://doi.org/10.1016/j.jeem.2019.102222,FALSE,FALSE,,,,,Alternative specification,
pindyck2019,pindyck2019,Pindyck,2019,The Social Cost of Carbon Revisited,Journal of Environmental Economics and Management,expert elicitation,global,average SCC,all respondents 5-95 trim Frechet,,,2017,USD/tCO2,295.0,,,,Table 7,https://doi.org/10.1016/j.jeem.2019.102222,FALSE,FALSE,,,,,Alternative specification,
hansel2020,hansel2020,Hänsel et al.,2020,Climate Economics Support for the UN Climate Targets,Nature Climate Change,updated DICE IAM,global,total SCC,median expert path,,2020,2015,USD/tCO2,101,17,520,parameter range,main text and Fig. 2,https://doi.org/10.1038/s41558-020-0833-x,TRUE,TRUE,,,,,Constant over time,Treated as time-invariant; range spans ethical parameter combinations and is not a sampling CI.
hansel2020,hansel2020,Hänsel et al.,2020,Climate Economics Support for the UN Climate Targets,Nature Climate Change,updated DICE IAM,global,total SCC,median expert view,,2020,2015,USD/tCO2,208,,,,main text,https://doi.org/10.1038/s41558-020-0833-x,FALSE,FALSE,,,,,Alternative specification,
hansel2020,hansel2020,Hänsel et al.,2020,Climate Economics Support for the UN Climate Targets,Nature Climate Change,updated DICE IAM,global,total SCC,Nordhaus parameters,,2020,2015,USD/tCO2,82,,,,main text,https://doi.org/10.1038/s41558-020-0833-x,FALSE,FALSE,,,,,Alternative specification,
vdb2021,vandenbremer2021,van den Bremer and van der Ploeg,2021,The Risk-Adjusted Carbon Price,American Economic Review,asset-pricing IAM,global,total SCC,ethical base risk-adjusted,,2015,2015,USD/tCO2,39.8,,,,Table 4,https://doi.org/10.1257/aer.20180517,TRUE,TRUE,,,,,Constant over time,Preferred ethical risk-adjusted baseline; treated as time-invariant.
vdb2021,vandenbremer2021,van den Bremer and van der Ploeg,2021,The Risk-Adjusted Carbon Price,American Economic Review,asset-pricing IAM,global,total SCC,market base deterministic,,2015,2015,USD/tCO2,4.1,,,,Table 4,https://doi.org/10.1257/aer.20180517,FALSE,FALSE,,,,,Alternative specification,
vdb2021,vandenbremer2021,van den Bremer and van der Ploeg,2021,The Risk-Adjusted Carbon Price,American Economic Review,asset-pricing IAM,global,total SCC,market base risk-adjusted,,2015,2015,USD/tCO2,6.6,,,,Table 4,https://doi.org/10.1257/aer.20180517,FALSE,FALSE,,,,,Alternative specification,
vdb2021,vandenbremer2021,van den Bremer and van der Ploeg,2021,The Risk-Adjusted Carbon Price,American Economic Review,asset-pricing IAM,global,total SCC,ethical long-run risk-adjusted,,2015,2015,USD/tCO2,61.0,,,,Table 4,https://doi.org/10.1257/aer.20180517,FALSE,FALSE,,,,,Alternative specification,
vdb2021,vandenbremer2021,van den Bremer and van der Ploeg,2021,The Risk-Adjusted Carbon Price,American Economic Review,asset-pricing IAM,global,total SCC,ethical instant-ECS risk-adjusted,,2015,2015,USD/tCO2,66.3,,,,Table 4,https://doi.org/10.1257/aer.20180517,FALSE,FALSE,,,,,Alternative specification,
dietz2021,dietz2021,Dietz et al.,2021,Economic Impacts of Tipping Points in the Climate System,PNAS,meta-analytic IAM,global,total SCC,all tipping points,,2020,2020,USD/tCO2,64.80,,,,Table 2,https://doi.org/10.1073/pnas.2103081118,TRUE,TRUE,,,,,Constant over time,Treated as time-invariant; tipping points increase expected SCC by 24.5%.
dietz2021,dietz2021,Dietz et al.,2021,Economic Impacts of Tipping Points in the Climate System,PNAS,meta-analytic IAM,global,total SCC,no tipping points,,2020,2020,USD/tCO2,52.03,,,,Table 2,https://doi.org/10.1073/pnas.2103081118,FALSE,FALSE,,,,,Alternative specification,
dietz2021,dietz2021,Dietz et al.,2021,Economic Impacts of Tipping Points in the Climate System,PNAS,meta-analytic IAM,global,SCC increment,multiple tipping points,,2020,2020,percent,24.5,,,,Table 2,https://doi.org/10.1073/pnas.2103081118,FALSE,FALSE,,,,,Increment not total SCC,Preserved percentage change.
carleton2022,carleton2022,Carleton et al.,2022,Valuing the Global Mortality Consequences of Climate Change Accounting for Adaptation Costs and Benefits,Quarterly Journal of Economics,empirical damage function,global,partial SCC,mortality RCP4.5,2,2020,2019,USD/tCO2,17.1,-24.7,53.6,IQR,Table 4,https://doi.org/10.1093/qje/qjac020,TRUE,FALSE,,,,,Partial mortality SCC,Not mixed with total SCC.
carleton2022,carleton2022,Carleton et al.,2022,Valuing the Global Mortality Consequences of Climate Change Accounting for Adaptation Costs and Benefits,Quarterly Journal of Economics,empirical damage function,global,partial SCC,mortality RCP8.5,2,2020,2019,USD/tCO2,36.6,-7.8,73.0,IQR,Table 4,https://doi.org/10.1093/qje/qjac020,FALSE,FALSE,,,,,Partial mortality SCC,
rennert2022,rennert2022,Rennert et al.,2022,Comprehensive Evidence Implies a Higher Social Cost of CO2,Nature,modular probabilistic IAM,global,total SCC,preferred,2,2020,2020,USD/tCO2,185,44,413,5th-95th quantiles,abstract and Extended Data Table 1,https://doi.org/10.1038/s41586-022-05224-9,TRUE,TRUE,,,,,Constant over time,Preferred GIVE estimate; treated as time-invariant and the 5th-95th quantiles are retained.
rennert2022,rennert2022,Rennert et al.,2022,Comprehensive Evidence Implies a Higher Social Cost of CO2,Nature,modular probabilistic IAM,global,total SCC,discount rate 2.5%,2.5,2020,2020,USD/tCO2,118,23,280,5th-95th quantiles,Extended Data Table 1,https://doi.org/10.1038/s41586-022-05224-9,FALSE,FALSE,,,,,Alternative specification,
rennert2022,rennert2022,Rennert et al.,2022,Comprehensive Evidence Implies a Higher Social Cost of CO2,Nature,modular probabilistic IAM,global,total SCC,discount rate 3%,3,2020,2020,USD/tCO2,80,12,197,5th-95th quantiles,Extended Data Table 1,https://doi.org/10.1038/s41586-022-05224-9,FALSE,FALSE,,,,,Alternative specification,
barrage2024,barrage2024,Barrage and Nordhaus,2024,Policies Projections and the Social Cost of Carbon: Results from the DICE-2023 Model,PNAS,DICE-2023 IAM,global,total SCC,base,3,2025,2019,USD/tCO2,78,,,,Table 2,https://doi.org/10.1073/pnas.2312030121,TRUE,TRUE,barrage_base,2025,78,,,Preferred path anchor; 2030 is log-interpolated within the published path.
barrage2024,barrage2024,Barrage and Nordhaus,2024,Policies Projections and the Social Cost of Carbon: Results from the DICE-2023 Model,PNAS,DICE-2023 IAM,global,total SCC,base,3,2050,2019,USD/tCO2,175,,,,Table 2,https://doi.org/10.1073/pnas.2312030121,FALSE,FALSE,barrage_base,2050,175,,,Path anchor
barrage2024,barrage2024,Barrage and Nordhaus,2024,Policies Projections and the Social Cost of Carbon: Results from the DICE-2023 Model,PNAS,DICE-2023 IAM,global,total SCC,cost-benefit optimal,,2025,2019,USD/tCO2,59,,,,Table 2,https://doi.org/10.1073/pnas.2312030121,FALSE,FALSE,,,,,Alternative specification,
barrage2024,barrage2024,Barrage and Nordhaus,2024,Policies Projections and the Social Cost of Carbon: Results from the DICE-2023 Model,PNAS,DICE-2023 IAM,global,total SCC,alternative damages,,2025,2019,USD/tCO2,146,,,,Table 2,https://doi.org/10.1073/pnas.2312030121,FALSE,FALSE,,,,,Alternative specification,
moore2024,moore2024,Moore et al.,2024,Synthesis of Evidence Yields High Social Cost of Carbon due to Structural Model Variation and Uncertainties,PNAS,systematic synthesis,global,total SCC,published-estimate distribution,,2020,2020,USD/tCO2,132,,,,main text,https://doi.org/10.1073/pnas.2410733121,FALSE,FALSE,,,,,Synthesis double-count risk,Published-estimate truncated mean; external comparison only.
moore2024,moore2024,Moore et al.,2024,Synthesis of Evidence Yields High Social Cost of Carbon due to Structural Model Variation and Uncertainties,PNAS,systematic synthesis,global,total SCC,synthetic distribution,,2020,2020,USD/tCO2,283,32,874,5th-95th range,abstract and main text,https://doi.org/10.1073/pnas.2410733121,TRUE,FALSE,,,,,Synthesis double-count risk,Hollow external comparison marker; never enters pool.
bilal2026,bilal2026,Bilal and Känzig,2026,The Macroeconomic Impact of Climate Change: Global Versus Local Temperature,Quarterly Journal of Economics,macro empirical model,global,total SCC,global temperature baseline,,2024,2024,USD/tCO2,1200,,,,abstract and Fig. XIII,https://doi.org/10.1093/qje/qjag011,TRUE,FALSE,,,,lower,Reported only as in excess of $1200,Lower-bound marker; excluded from pooled 2030 mean.
